Unicodes:
- see https://unicode.org/emoji/charts/full-emoji-list.html

🌡  thermometer
⚡  high voltage
🔋  battery
💻  laptop
🖥  desktop computer
🔌  electric plug
🎮  gamepad
🕹  joystick
🧸   teddy bear
🔇  muted speaker
🔈  low speaker
🔊  high speaker
🎼  musical score
🎵  musical note
🎶  musical notes
꩜   spiral
🎯  bullseye U+1F3AF
💰  money bag
🗝  old key
🔒  locked
🕉  om
🗑  wastebasket
😴  sleepy face
💩  poop
❤   red heart
🙈  see no evil monkey
👾  asteroid
☠   skull
✔   check mark
❌  cross mark
🔥  fire
❄   snowflake
💧  droplet
⭐  star
☀   sun
🌓  first quarter moon
🚀  rocker
🌎  globe with americas
🍹  tropical drink
🍺  beer mug
🍸  cocktail
🍦  soft ice cream
🍪  cookie
🍖  meat on bone
🍕  pizza
🍉  watermelon
🐳  whale
🦖  rex
🐉  dragon
🐹  hamster
